ꀀ | Chinese: 1. pron. 我的（引述式） | 2. v. (1) 有；存在（多指房屋或容器中有某物） (2) 居住 (3) 睡觉
ꀀ ꀕ | Chinese: 1. pron. 我自己（引述式）
ꃌ | Chinese: 1. n. 妇人；妻子
ꃌ ꌺ | Chinese: 1. n. 家眷；妻子儿女
ꃌ ꒆ | Chinese: 1. n. 夫妇
ꃐ | Chinese: 1. adj. 宽度
ꃑ | Chinese: 1. v. (1) 放 (2) 发
ꃓ | Chinese: 1. v. 蒙；遮 | 2. adv. 大口（吃）
ꃔ | Chinese: 1. v. (1) 发瘾（酒；烟等） (2) （草、胡须等）生长得快而多 (3) （杂草）滋生 (4) 耍魔术 (5) 发迹
ꃖ | Chinese: 1. v. 封闭
ꃗ | Chinese: 1. v. 逼近
ꃘ | Chinese: 1. num. 六 | 2. adj. (1) （煮）干 (2) 下（雪） | 3. v. 愈合
ꃘ ꅺ | Chinese: 1. n. 相貌
ꃘ ꌺ | Chinese: 1. n. 胡琴；二胡
ꃘ ꏧ | Chinese: 1. adj. 畏难；为难
ꃙ | Chinese: 1. adj. 粗
ꃙ ꄜ | Chinese: 1. v. 伤（身、心）；损伤
ꃙ ꈌ | Chinese: 1. adj. 丑陋而粗鲁
ꃙ ꋉ ꂡ ꄀ | Chinese: 1. v. 夸张
ꃚ | Chinese: 1. v. (1) 烧 (2) 磨；伤害 (3) （病）严重；沉重 | 2. n. (1) 粑 (2) 声音；嗓音 (3) （牛羊等牲畜的）角 | 3. adj. 粗 | 4. cl. 跤
ꃙ | Chinese: 1. cl. 跤
ꃚ ꀨ | Chinese: 1. n. 根
ꃚ ꃀ | Chinese: 1. n. 韵母
ꃚ ꋒ | Chinese: 1. n. 声音；音调；声调
ꃚ ꌺ | Chinese: 1. n. 声母
ꃛ | Chinese: 1. v. (1) 扣（纽扣） (2) 编织 (3) 缩 (4) 砌 (5) 忙；急忙；紧张；抓紧（时间） (6) 迫近（指日期或打仗） | 2. cl. 排（指子弹五发为一排） | 3. adj. (1) 粗 (2) （脚底）麻痛
ꃛ ꁙ | Chinese: 1. n. 声音；嗓音
ꃛ ꂷ | Chinese: 1. n. 扣子
ꃛ ꅔ | Chinese: 1. n. （绉）领（专指披毡、擦尔瓦的领）
ꃛ ꆺ | Chinese: 1. n. 喉咙
ꃛ ꉧ | Chinese: 1. n. 弯角
ꃛ ꌞ | Chinese: 1. adj. 嗓子嘶哑
ꃛ ꏣ | Chinese: 1. n. 纽扣（总称）
ꃛ ꏤ | Chinese: 1. v. 商定
ꃜ ꁏ | Chinese: 1. v. 悔婚
ꃜ ꇤ | Chinese: 1. n. 媒人
ꃜ ꌎ | Chinese: 1. v. 搔；挠（痒）
ꃜ ꎆ | Chinese: 1. n. 身价钱
ꃜ ꏦ | Chinese: 1. n. 婚姻法
ꃝ | Chinese: 1. v. (1) 通婚；婚嫁 (2) 搔（痒） (3) 磨擦；磨破 (4) 刨（成细丝） (5) 倒；倒（出）
ꃝ ꇔ | Chinese: 1. v. 解除婚约
ꃝ ꎭ | Chinese: 1. v. 挑衅
ꃝ ꐉ | Chinese: 1. n. 姻亲
ꃝ ꐨ | Chinese: 1. n. 婚姻
ꃠ | Chinese: 1. adj. 丑
ꃢ | Chinese: 1. cl. 次 | 2. n. (1) 衣服（文学语） (2) 猪（文学语） | 3. v. 搓（绳子）
ꃢ ꈜ | Chinese: 1. n. 服装
ꃣ ꁧ | Chinese: 1. n. 东西（泛指背的东西）
ꃣ ꈌ | Chinese: 1. n. (1) 案件；问题；纠纷 (2) 女生殖器（俗称）
ꃤ | Chinese: 1. gr. 的（表领属） | 2. n. 家族 | 3. cl. 背；担 | 4. v. 发情（只用于猪、猫）
ꃣ | Chinese: 1. cl. 背；担
ꃤ ꃀ | Chinese: 1. n. 斧头
ꃤ ꅪ | Chinese: 1. n. 豺狗；豺狼
ꃥ | Chinese: 1. n. 客人 | 2. cl. 排；截（指房上的瓦板）
ꃥ ꌋ | Chinese: 1. n. 主人
ꃥ ꌺ | Chinese: 1. n. 小肚子
ꃧ ꃨ | Chinese: 1. n. 花儿
ꃨ | Chinese: 1. n. (1) 花 (2) 火绒 | 2. v. 开花 | 3. adj. (1) 慷慨；能干 (2) 马跑得快
ꃨ ꁍ ꀕ | Chinese: 1. adj. 风驰电掣似的（多指骏马赛跑状）
ꃨ ꆰ | Chinese: 1. adj. 担心；害怕
ꃪ | Chinese: 1. adj. (1) 好 (2) 畏惧 | 2. num. 万 | 3. cl. 元（钱） | 4. n. 岩；崖 | 5. v. (1) 烤（火） (2) 烙（饼）
ꃪ ꅞ | Chinese: 1. v. 跌倒
ꃪ ꅪ | Chinese: 1. n. 悬岩；红岩；陡岩
ꃪ ꅿ | Chinese: 1. adj. 香味（烤或炒）
ꃪ ꇓ ꏢ | Chinese: 1. n. （生）石膏
ꃪ ꉩ | Chinese: 1. adj. 香（味觉）
ꃪ ꉬ | Chinese: 1. adj. 虚怕
ꃪ ꏦ | Chinese: 1. n. 岩层；岩上小道
ꃪ ꐎ | Chinese: 1. n. 铝
ꃪ ꐚ | Chinese: 1. n. 岩蜂
ꃪ ꐬ | Chinese: 1. n. 山洞；岩洞
ꃪ ꑘ | Chinese: 1. n. 冰粉子
ꃪ ꑳ | Chinese: 1. n. 岩洞（可居住）
ꃫ ꇷ | Chinese: 1. n. 簸箕外层
ꃫ ꌺ | Chinese: 1. n. 小簸箩
ꃬ | Chinese: 1. n. 鸡 | 2. v. (1) 聚起来 (2) 刨；搂
ꃬ ꀜ | Chinese: 1. n. 鸡瘟病
ꃬ ꀮ | Chinese: 1. n. 公鸡
ꃬ ꂡ | Chinese: 1. n. （一种皮肤病）
ꃬ ꂵ | Chinese: 1. n. 母鸡
ꃬ ꅄ | Chinese: 1. n. (1) 黄连树（草药名） (2) 鸡后爪
ꃬ ꈯ | Chinese: 1. n. 金属小圈儿
ꃬ ꈿ | Chinese: 1. n. 麻疹
ꃬ ꉆ | Chinese: 1. n. (1) 疮（耳根上长的） (2) 鸡胗肝
ꃬ ꋐ | Chinese: 1. n. 朝天椒
ꃬ ꌤ ꁓ | Chinese: 1. n. 栽秧果
ꃬ ꎔ | Chinese: 1. n. 麻疹
ꃬ ꎶ | Chinese: 1. n. 阉鸡
ꃬ ꑇ | Chinese: 1. n. 蜈蚣
ꃬ ꑓ | Chinese: 1. n. 鸡眼（病）
ꃬ ꒀ | Chinese: 1. n. 锌
ꃭ ꇀ ꊪ | Chinese: 1. n. 门扣儿
ꃭ ꇁ | Chinese: 1. n. 擦尔瓦（彝族服饰）
ꃭ ꇇ | Chinese: 1. n. 瓢
ꃭ ꇤ | Chinese: 1. n. 油菜
ꃭ ꇤ ꒉ | Chinese: 1. n. 菜油汤
ꃭ ꊭ | Chinese: 1. n. (1) 袜子 (2) （年迈的死者丧礼上的一种说唱词）
ꃮ | Chinese: 1. v. (1) 叫（狗；乌鸦等的某种叫声） (2) （蜘蛛）结网 (3) 结；编（大眼筐筐等） | 2. n. 猪
ꃮ ꀁ ꀧ | Chinese: 1. n. 猪的膀胱
ꃮ ꀠ | Chinese: 1. n. 肥猪；大公猪
ꃮ ꁮ ꌺ | Chinese: 1. n. 小猪儿；猪崽
ꃮ ꃀ | Chinese: 1. n. 母猪
ꃮ ꃶ ꋴ | Chinese: 1. n. 灌肠
ꃮ ꄫ | Chinese: 1. n. 全猪
ꃮ ꅪ | Chinese: 1. n. 猪肉
ꃮ ꆜ | Chinese: 1. n. 猪的脾脏
ꃮ ꇁ | Chinese: 1. n. 种猪
ꃮ ꉺ ꄧ | Chinese: 1. n. （公）架子猪
ꃮ ꉻ | Chinese: 1. n. 猪圈
ꃮ ꉻ ꂾ | Chinese: 1. n. （母）架子猪
ꃮ ꌌ | Chinese: 1. n. (1) 土猪；野猪 (2) 猪肝
ꃮ ꌦ ꅪ | Chinese: 1. adj. 紫红色
ꃮ ꎐ ꏍ | Chinese: 1. adj. 斜纹
ꃮ ꑌ | Chinese: 1. n. 野猪
ꃰ | Chinese: 1. v. （心绪）不定 | 2. n. 雪
ꃰ ꁮ | Chinese: 1. n. 掌
ꃰ ꃅ | Chinese: 1. n. 皇帝；国王
ꃰ ꇌ ꈭ | Chinese: 1. adj. 圆圈
ꃰ ꊿ | Chinese: 1. n. 人类
ꃰ ꌗ ꉈ ꌗ | Chinese: 1. n. 冷气（指雪霜之气）
ꃰ ꌦ | Chinese: 1. n. 雪花（雪片）
ꃱ | Chinese: 1. n. (1) 蔬菜：青菜、白菜等总称 (2) 方位 | 2. v. (1) 聚集 (2) 围栏
ꃱ ꂷ | Chinese: 1. n. 圆根
ꃱ ꃅ | Chinese: 1. adj. 丰年 | 2. n. 菜地
ꃱ ꃝ ꅍ | Chinese: 1. n. 礤床儿
ꃱ ꅈ ꃰ ꅊ | Chinese: 1. adj. 彷徨；踌躇不定；犹豫不决
ꃱ ꆈ | Chinese: 1. n. （专指）青菜
ꃱ ꆹ | Chinese: 1. n. 大门
ꃱ ꇌ ꃯ ꇌ | Chinese: 1. adj. 犹豫不决
ꃱ ꈤ | Chinese: 1. n. （编成串的）圆根干儿
ꃱ ꈭ | Chinese: 1. n. 干圆根
ꃱ ꉩ | Chinese: 1. n. 荒年
ꃱ ꋯ | Chinese: 1. n. 萝卜
ꃱ ꌏ ꌺ | Chinese: 1. n. 小雪
ꃱ ꏢ | Chinese: 1. n. (1) 酸菜 (2) 泡菜
ꃱ ꏢ ꒉ | Chinese: 1. n. 酸菜汤
ꃱ ꏫ | Chinese: 1. n. 大雪片
ꃱ ꏬ | Chinese: 1. n. 熟圆根
ꃱ ꐚ | Chinese: 1. v. 清醒
ꃱ ꐻ ꃱ ꆺ ꎵ | Chinese: 1. adj. 冰天雪地
ꃲ | Chinese: 1. ta. 了（文学语）
ꃴ | Chinese: 1. v. (1) 按；压（布）；揉；擂 (2) 推（磨） | 2. n. 泡沫 | 3. adj. 蓝色
ꃴ ꂷ ꋜ | Chinese: 1. v. 遗嘱；临终嘱咐；遗言
ꃴ ꄃ | Chinese: 1. v. 打击
ꃴ ꅿ | Chinese: 1. adj. 霉气
ꃴ ꇉ | Chinese: 1. adj. 蓝盈盈；绿油油
ꃴ ꈁ | Chinese: 1. adj. 霉（多指肥料发酵后呈现白色）
ꃴ ꈻ | Chinese: 1. adj. 阴冷；湿气沁人
ꃴ ꌦ | Chinese: 1. adj. 甘心；死心
ꃴ ꎆ | Chinese: 1. n. 贿金
ꃴ ꐛ | Chinese: 1. adj. 发霉 | 2. n. （牲畜胸腹总称）
ꃵ ꁏ ꉆ ꆽ | Chinese: 1. adj. (1) 翻肠倒肚（呕吐的时候） (2) 乱七八糟
ꃵ ꂿ | Chinese: 1. v. 神经错乱；疯癫
ꃵ ꄜ ꉆ ꎆ | Chinese: 1. n. 内脏
ꃵ ꅉ | Chinese: 1. n. 本质；本性
ꃵ ꆈ | Chinese: 1. n. 大肠
ꃵ ꋩ | Chinese: 1. adj. 慌乱；慌忙
ꃵ ꐞ | Chinese: 1. n. 盲肠；阑尾
ꃶ | Chinese: 1. adj. 干燥 | 2. n. (1) 杆；秸杆 (2) 肠 | 3. v. 发疯 | 4. cl. 群（动物）
ꃵ | Chinese: 1. cl. 群（动物）
ꃶ ꄙ ꂿ ꄙ | Chinese: 1. v. 抵赖
ꃶ ꅪ | Chinese: 1. n. 小肠
ꃶ ꇌ ꂿ ꇌ | Chinese: 1. v. 疯疯癫癫
ꃶ ꇗ ꂿ ꇕ | Chinese: 1. v. 缠住不放
ꃶ ꈢ | Chinese: 1. adj. 筋骨酸痛
ꃶ ꋊ ꉆ ꋊ | Chinese: 1. adj. 肠胃辣痛
ꃶ ꋊ ꎭ ꑐ | Chinese: 1. v. 动手动脚
ꃶ ꋩ ꑳ ꉩ | Chinese: 1. v. 不知所措
ꃶ ꌐ | Chinese: 1. n. 亲家（指双方）
ꃶ ꌬ | Chinese: 1. adj. 纯；纯净（不杂其他颜色）
ꃶ ꌱ | Chinese: 1. n. (1) 姻亲 (2) 亲家（指一方亲的一家人）
ꃶ ꌱ ꀋ ꁧ | Chinese: 1. n. 亲家公
ꃶ ꌱ ꀋ ꃀ | Chinese: 1. n. 亲家母
ꃶ ꌱ ꃅ | Chinese: 1. v. 定婚
ꃶ ꏶ | Chinese: 1. n. 肠辫子（把羊肠子编成辫子煮来吃）
ꃶ ꐎ | Chinese: 1. n. 直肠
ꃶ ꐚ | Chinese: 1. adj. 真正
ꃶ ꑳ | Chinese: 1. v. 痒痒
ꃷ | Chinese: 1. v. (1) 卖 (2) 数 | 2. n. 屁
ꃷ ꁨ | Chinese: 1. n. 数字；数目；数量
ꃷ ꅍ | Chinese: 1. n. 骨头
ꃷ ꅍ ꆊ ꅿ | Chinese: 1. n. 亲生骨肉
ꃷ ꇎ | Chinese: 1. n. 邻居；街坊
ꃷ ꈋ | Chinese: 1. v. 出卖
ꃷ ꋪ | Chinese: 1. n. 先例；例子；惯例
ꃷ ꎏ | Chinese: 1. n. 市场
ꃷ ꐪ ꃼ ꇇ | Chinese: 1. n. 买卖；（经）商
ꃸ ꅐ | Chinese: 1. v. (1) 花费 (2) 相干；有关
ꃸ ꆽ | Chinese: 1. v. (1) 搅拌 (2) 搅乱；挑拨
ꃹ | Chinese: 1. v. (1) 搅拌 (2) 翻（茬地） (3) 挠；挖（眼珠） (4) 进入 (5) 耗费；花费 (6) 日落 (7) 孵
ꃺ | Chinese: 1. v. 拨开；扒开（向两边） | 2. adj. 麻木；麻（手脚等）
ꃺ ꃀ | Chinese: 1. n. (1) 姐姐（女称） (2) 嫂子（弟称兄之妻）
ꃺ ꃶ | Chinese: 1. n. (1) 哥哥（男称） (2) 大伯子（丈夫之兄）
ꃺ ꄧ | Chinese: 1. n. 越西（地名）
ꃺ ꄹ | Chinese: 1. adj. 麻木
ꃺ ꆚ | Chinese: 1. adj. （庄稼或水随风）起浪状
ꃺ ꏵ | Chinese: 1. adj. 麻木；使痛入骨髓
ꃺ ꒌ | Chinese: 1. n. 痢疾
ꃼ | Chinese: 1. v. 买 | 2. n. (1) 棱角；（锯）齿 (2) 左（边） (3) 稗子 | 3. adj. 灵敏
ꃼ ꁉ | Chinese: 1. adj. 锋利
ꃼ ꂂ | Chinese: 1. v. 灵巧（指行动）
ꃼ ꄀ ꏢ ꍰ | Chinese: 1. v. 添油加醋（扩大事实）
ꃼ ꄸ | Chinese: 1. adj. 欠佳；欠妥
ꃼ ꇇ | Chinese: 1. n. 生意
ꃼ ꏯ | Chinese: 1. n. 左边
ꃼ ꒆ | Chinese: 1. adj. 完整；完善
ꃽ | Chinese: 1. v. （用刀轻）剖（肚子）；划缝刃；锐器所伤 | 2. n. （蜂的）毒刺
ꃽ ꇖ ꃻ ꇖ | Chinese: 1. adj. 半死不活（多指蜂等）
ꃾ ꑣ | Chinese: 1. v. 抠；抓
ꃿ | Chinese: 1. v. 抓
ꄀ | Chinese: 1. v. (1) 附（使动） (2) 戴（冒子）；穿（鞋、袜子）（使动） (3) 燃（使动）；点 (4) 携带（东西） | 2. cl. 层叠 | 3. n. (1) 靛；染料 (2) 雕 (3) （传说中的）神鹰
ꄀ ꇗ | Chinese: 1. v. 强迫
ꄀ ꇗ ꇱ | Chinese: 1. v. 强要；硬要
ꄁ ꀠ | Chinese: 1. v. 顶替（人、物）
ꄁ ꀺ | Chinese: 1. n. 臼；乳钵
ꄁ ꃰ | Chinese: 1. v. 流浪
ꄁ ꇉ | Chinese: 1. adj. 洼；凹
ꄁ ꊤ | Chinese: 1. adv. 蹲坐形
ꄁ ꋣ ꄅ ꊸ | Chinese: 1. adj. 焦躁
ꄁ ꎂ ꏿ | Chinese: 1. adv. 径往；一往直前
ꄂ | Chinese: 1. v. (1) 放；安放（锅） (2) 折叠；摺叠 (3) 刷（漆） (4) 指 (5) 竖起（耳） (6) 逛；蹓跶 | 2. cl. 层 | 3. adj. 独 | 4. n. 云
ꄁ | Chinese: 1. cl. 层
ꄂ ꆼ ꈘ | Chinese: 1. adv. 孤独；单独
ꄃ | Chinese: 1. v. (1) 打；捶 (2) 定居（文学语） (3) 停步；停 (4) 骟 (5) 埋葬
ꄃ ꀥ | Chinese: 1. adj. 同类；同样
ꄃ ꁧ | Chinese: 1. n. 坟墓
ꄃ ꆹ ꄁ ꆺ | Chinese: 1. v. 晃荡（悬空挂物荡来荡去）
ꄃ ꐛ | Chinese: 1. v. 凝固（猪油）
ꄄ ꀱ | Chinese: 1. n. 砧板；菜板
ꄄ ꁁ ꎰ ꆈ | Chinese: 1. n. 大海洋（泛指）；滇池（特指）
ꄄ ꍅ | Chinese: 1. adj. 齐齐崭崭；密密层层（指竹简、田埂等）
ꄄ ꍻ | Chinese: 1. v. 猛然（惊醒） | 2. adj. 鸡啄似地（痛）
ꄅ | Chinese: 1. v. 重叠 | 2. cl. 层
ꄄ | Chinese: 1. cl. 层
ꄅ ꀕ ꒊ | Chinese: 1. adj. 一样大；相等
ꄅ ꁨ | Chinese: 1. v. (1) 风化（石头） (2) 分裂；脱落
ꄅ ꌺ | Chinese: 1. n. 额外添加的
ꄆ ꌤ | Chinese: 1. n. 杵
ꄇ | Chinese: 1. v. (1) 抵；典押 (2) 吹捧
ꄇ ꀋ ꄿ | Chinese: 1. adj. 了不起（贬）
ꄇ ꀋ ꉆ | Chinese: 1. adv. 了不起（贬）
ꄇ ꃀ | Chinese: 1. adj. 大规模；大批的
ꄇ ꄜ ꋊ | Chinese: 1. adj. 公开
ꄇ ꄤ | Chinese: 1. n. 院子（中间）
ꄇ ꇁ | Chinese: 1. adj. 明亮（多指月光等）
ꄇ ꇑ | Chinese: 1. n. 大路
ꄇ ꇖ | Chinese: 1. adj. 明显（看见）
ꄇ ꈜ | Chinese: 1. n. 大路
ꄇ ꋒ | Chinese: 1. n. 大桥
ꄇ ꍩ | Chinese: 1. n. 大炮
ꄇ ꒉ | Chinese: 1. n. 大河（泛指）
ꄈ | Chinese: 1. adv. 更（比较助词，作状语用的程度副词） | 2. n. 党（作音译上的规范用字）；共产党
ꄉ | Chinese: 1. gr. (1) 从 (2) 着（副词化词） | 2. conj. 由于 | 3. ta. (1) 着 (2) 着 | 4. v. 放置
ꄉ ꀐ | Chinese: 1. ta. 已经
ꄉ ꃆ ꄉ ꈁ | Chinese: 1. n. 家产；财产
ꄉ ꄐ | Chinese: 1. adj. 合适；适合
ꄉ ꇤ | Chinese: 1. v. 耽误；妨碍
ꄉ ꉻ | Chinese: 1. adv. 笼统；大概 | 2. n. 大家；公众
ꄉ ꏦ | Chinese: 1. n. （皮下）硬块；硬疙瘩
ꄉ ꏽ | Chinese: 1. adv. 几乎；差点儿
ꄉ ꒉ | Chinese: 1. adj. 骄傲；自大
ꄊ | Chinese: 1. v. 昂（头）
ꄊ ꁉ | Chinese: 1. adj. 赌博
ꄊ ꄚ | Chinese: 1. n. 锅庄舞；达体舞
ꄊ ꇪ | Chinese: 1. n. 弹弓
ꄊ ꊍ ꇉ | Chinese: 1. n. 甘孜州的州府所在地；康定
ꄊ ꊛ | Chinese: 1. n. 十字镐
ꄌ | Chinese: 1. v. (1) 抱；抬起 (2) 带孩子
ꄌ ꀨ | Chinese: 1. n. 襁褓（抱裙方）
ꄌ ꈪ | Chinese: 1. adv. 怀里（文学语）
ꄌ ꈿ | Chinese: 1. n. 胸部
ꄎ | Chinese: 1. v. (1) 给喝；给吸（烟）（使动） (2) 支援；搀扶；扶持（别人） | 2. aux. 能够
ꄎ ꁮ | Chinese: 1. n. 号角
ꄎ ꌬ | Chinese: 1. adj. 洪亮；响亮
ꄎ ꑣ | Chinese: 1. v. 扶；扶持（人）
ꄏ | Chinese: 1. v. (1) 吹（号角） (2) 召唤（出兵） (3) 搀扶；扶持；扶（别人）；支援 (4) 胡诌；说（废话）；信口开河
ꄏ ꐓ | Chinese: 1. v. 支持
ꄐ | Chinese: 1. v. (1) 适应 (2) 指点；指 (3) 朝向 (4) 喝（使动） | 2. adj. 合适；相称；和睦 | 3. aux. 能够
ꄐ ꀕ | Chinese: 1. adj. 差；孬；不太好；不大对头
ꄐ ꂘ | Chinese: 1. v. 指示；指教
ꄐ ꅍ | Chinese: 1. n. 能动；本领
ꄐ ꇉ ꄎ ꇉ | Chinese: 1. adj. 活动（不稳定：门牙～了）
ꄐ ꇐ ꏤ ꇐ | Chinese: 1. n. 战略决策
ꄐ ꌐ | Chinese: 1. v. 指导
ꄐ ꏤ | Chinese: 1. v. 准备
ꄑ | Chinese: 1. gr. 起；从
ꄓ | Chinese: 1. v. (1) 迁走 (2) 起（来、立、飞等）；起 (3) 复活（起来）
ꄓ ꍣ | Chinese: 1. n. 德昌（地名）
ꄓ ꎸ | Chinese: 1. n. 稀客（套语）
ꄔ | Chinese: 1. n. 火 | 2. v. (1) 点出（灯）；点（灯） (2) 踩；践踏 (3) 凑；对（钱）
ꄔ ꀝ | Chinese: 1. n. 豆渣
ꄔ ꃛ | Chinese: 1. n. 豆腐
ꄔ ꇂ ꀠ | Chinese: 1. n. 连渣菜
ꄔ ꊏ | Chinese: 1. n. 火把（成捆的）
ꄔ ꊒ | Chinese: 1. n. 火把节（是农历六月廿四日）
ꄔ ꌦ ꑓ ꐚ | Chinese: 1. v. （灯火）似灭非灭
ꄔ ꐔ | Chinese: 1. n. 灰烬
ꄔ ꒉ | Chinese: 1. n. 豆腐汤
ꄕ ꊪ | Chinese: 1. v. 发动；动员
ꄖ | Chinese: 1. gr. 赠送（宾格标志，常与 | 2. v. (1) 扶起 (2) 竖 (3) 翘 | 3. adj. 厚
ꄖ ꄑ | Chinese: 1. v. 发动；发起
ꄗ | Chinese: 1. v. (1) 收缩；蜷缩 (2) 停住 | 2. adj. 厚度
ꄗ ꀖ | Chinese: 1. adj. 赌气
ꄘ ꇤ | Chinese: 1. n. 南瓜
ꄘ ꏮ | Chinese: 1. adj. 不利索（多指因病力弱而动作不灵便）
ꄘ ꑐ | Chinese: 1. adj. 笔直（多指树木、竹子等）
ꄘ ꑣ | Chinese: 1. v. 抵抗；抗拒
ꄙ | Chinese: 1. num. 千 | 2. n. 灵猫 | 3. cl. 角（钱）
ꄘ | Chinese: 1. cl. 角（钱）
ꄙ ꃪ | Chinese: 1. num. 千千万万
ꄙ ꄣ | Chinese: 1. n. 英雄带
ꄙ ꌬ | Chinese: 1. n. 砥柱
ꄙ ꑣ ꁍ | Chinese: 1. adv. 猛然；突然
ꄚ | Chinese: 1. pron. 这里 | 2. v. (1) （相）碰 (2) 磕（头） (3) （狗）咬 | 3. cl. 兜 | 4. adj. 舒服；精神好 | 5. conj. 但是；可是
ꄚ ꄉ | Chinese: 1. conj. 于是
ꄚ ꄜ | Chinese: 1. n. 木盔；高脚木盘
ꄚ ꄿ | Chinese: 1. adj. (1) 有钱有势 (2) 精神饱满
ꄚ ꌧ | Chinese: 1. n. 脚镣；木鞋（刑具）
ꄚ ꏸ | Chinese: 1. n. 梭子星（四颗星组成菱形的星）
ꄛ ꁮ ꀕ | Chinese: 1. adj. （说话）大方；正大光明
ꄛ ꂿ | Chinese: 1. n. 上衣（毛织品）
ꄛ ꆹ ꀕ | Chinese: 1. adj. 中年（一般三四十岁左右）
ꄛ ꑣ | Chinese: 1. v. 告诉；传达；交谈；汇报等
ꄜ | Chinese: 1. v. (1) （用头）挑、抵 (2) 碰撞（用于人或动物间） (3) 换（兑换，调换） (4) 挑；扛 (5) 指（意思）
ꄜ ꎟ | Chinese: 1. v. 考验；锻炼
ꄜ ꐙ | Chinese: 1. adj. 板实；板结
ꄜ ꐨ | Chinese: 1. n. 意义
ꄝ | Chinese: 1. v. (1) 舀 (2) 结（疙瘩） (3) 打结子；系 (4) 放（掉）
ꄝ ꆹ ꄛ ꆹ | Chinese: 1. adj. 疙疙瘩瘩（指线和绳子）
ꄞ ꅐ | Chinese: 1. adj. 突出
ꄟ | Chinese: 1. v. 包；裹；兜 | 2. gr. （后缀；与动词结合构成名词）
ꄠ ꑓ ꈪ | Chinese: 1. n. 洼地
ꄡ | Chinese: 1. adv. 不要；别；莫 | 2. v. (1) 挡（着） (2) 约定
ꄡ ꀧ ꏸ | Chinese: 1. n. 六姐妹（星名）；北斗星
ꄡ ꀮ | Chinese: 1. n. 耳坠子
ꄡ ꁵ ꍃ | Chinese: 1. v. 别吭声；肃静
ꄡ ꄤ | Chinese: 1. n. 院子（中间）
ꄡ ꇗ | Chinese: 1. adv. 还是；仍然
ꄡ ꇝ | Chinese: 1. adj. 随便
ꄡ ꈉ | Chinese: 1. n. 约定的地点（或时间）
ꄡ ꑟ | Chinese: 1. aux. 应该
ꄡ ꑟ ꆪ ꑟ | Chinese: 1. v. 到期；满期；届时
ꄣ | Chinese: 1. n. 坛子 | 2. adj. 瘫痪；残疾
ꄤ | Chinese: 1. v. (1) 分担；摊派 (2) 平均 (3) 估计 | 2. adv. 莫（文学语）
ꄤ ꃀ | Chinese: 1. n. 大坛子
ꄤ ꆳ | Chinese: 1. n. 斑鸠；鸽子
ꄤ ꇔ ꊉ ꂄ | Chinese: 1. n. 单层厚披毡
ꄧ | Chinese: 1. adj. 锐利；锋利
ꄧ ꀕ | Chinese: 1. adj. 恰巧；正好
ꄨ ꇅ ꄦ ꇅ | Chinese: 1. adj. 断节（线、绳等）
ꄩ | Chinese: 1. n. 上 | 2. cl. 滴 | 3. v. (1) 打（下） (2) 钉；戳
ꄩ ꇊ ꀠ | Chinese: 1. adj. 中等个儿
ꄩ ꏯ | Chinese: 1. n. 上面
ꄫ | Chinese: 1. cl. 全 | 2. v. （快速而随便地）割；剪
ꄪ | Chinese: 1. cl. 全 
ꄫ ꑌ | Chinese: 1. adj. 肥壮
ꄬ | Chinese: 1. adj. 头等
ꄮ | Chinese: 1. v. 相称；和睦 | 2. n. (1) 松（树） (2) 时候；时间（不单用）
ꄮ ꁧ | Chinese: 1. n. 松树
ꄮ ꈉ | Chinese: 1. n. 时间
ꄮ ꌅ | Chinese: 1. n. (1) 松脂 (2) 金阳（地名）
ꄮ ꌦ ꀨ ꆺ | Chinese: 1. n. (1) 松果 (2) 松子
ꄮ ꐰ | Chinese: 1. n. 时节；季节（不单用）
ꄯ | Chinese: 1. v. 阻碍；妨碍；阻挠
ꄯ ꁯ | Chinese: 1. n. 棍子
ꄯ ꆪ | Chinese: 1. n. 兔子（文学语）
ꄯ ꆪ ꃅ ꐚ | Chinese: 1. n. 壁虎
ꄯ ꇌ ꄭ ꇌ | Chinese: 1. v. (1) 跌跌撞撞 (2) 吞吞吐吐
ꄯ ꈌ | Chinese: 1. n. 丝瓜
ꄯ ꒉ | Chinese: 1. n. 纸；书；文件
ꄰ | Chinese: 1. n. 家；集团
ꄰ ꁼ ꏿ | Chinese: 1. adj. 直冲；果断
ꄰ ꅍ | Chinese: 1. n. 家
ꄱ ꄂ | Chinese: 1. v. 得荨麻疹（起风疹块）
ꄲ | Chinese: 1. v. 皮肤起疙瘩 | 2. n. 桐（树）
ꄲ ꂷ | Chinese: 1. n. 桐子
ꄳ | Chinese: 1. v. (1) 猛拉；猛扳 (2) 堆砌（专指用石头砌纹）
ꄳ ꇐ ꄱ ꇐ | Chinese: 1. v. 走走停停（多指牛犁地时费力状）
ꄳ ꐳ | Chinese: 1. v. (1) 虐待 (2) 东拉西拽
ꄳ ꑣ ꏽ | Chinese: 1. v. 一鼓作气
ꄴ ꈌ | Chinese: 1. n. 榫眼；铆眼
ꄴ ꋖ | Chinese: 1. v. 剁
ꄴ ꏮ | Chinese: 1. v. 防止
ꄵ | Chinese: 1. v. (1) 剁 (2) 凿钻；穿（破、透） (3) 啄；（蛇）咬 (4) 撑 (5) 撑（伞） (6) 上膛 (7) 盖 (8) 套（鸟）
ꄵ ꏜ | Chinese: 1. n. 司茅草（方）；盖房的草（泛指）
