above | Yi: n. [ꄩ tot]
garden | Yi: n. [ꃱ ꃅ vop mu], [ꉻ ꈫ ho ggux]
garlic | Yi: n. [ꇤ ꌋ ga si]
garment | Yi: cl. [ꈬ ggu]
gas | Yi: n. [ꑭ ꈯ xy ggur]
gate | Yi: n. [ꀃ ꈈ ip ko], [ꃱ ꆹ vop li]
gather | Yi: v. [ꃱ vop], [ꉅ mgur], [ꏓ rep], [ꊐ ꅍ zip ddu]
gecko | Yi: n. [ꄯ ꆪ tep hlep]
geld | Yi: v. [ꈄ kuo]
gem | Yi: n. [ꇓ ꋤ lur zzup]
genealogy | Yi: n. [ꊿ ꋊ co cyt], [ꋊ cyt]
general | Yi: adj. [ꎃ ꐚ rrop jji]
general | Yi: n. [ꂽ ꌋ mot si]
generation | Yi: cl. [ꋊ cyt], [ꋏ cyr]
generous | Yi: adj. [ꀬ but], [ꀬ ꅑ but ndit], [ꃨ vie], [ꇥ ꁠ gap bba]
gentle | Yi: adv. [ꀅ ꌳ iex ssa], [ꊖ za], [ꆲ ꌙ hlyx so]
gentleman | Yi: n. [ꌟ ꃅ sux mu]
gently | Yi: adv. [ꀅ ꌳ iex ssa]
genuine | Yi: adj. [ꃶ ꌬ vu ssi], [ꐯ jjy], [ꊋ ꐚ we jji]
germ | Yi: n. [ꆐ nep]
get | Yi: v. [ꊌ wep], [ꋊ cyt], [ꒃ yu]
get up | Yi: v. [ꀀ ꄓ it dep]
ghost | Yi: n. [ꌻ ssep], [ꒌ yyr], [ꑊ ꋌ nyit cy]
gift | Yi: n. [ꈁ ꁠ ka bba], [ꈌ ꆹ ke li]
ginger | Yi: n. [ꏾ ꁒ qi py]
giraffe | Yi: n. [ꊴ ꆸ cie lix]
girl | Yi: n. [ꀉ ꑳ ax yi], [ꌋ ꅪ si hni], [ꅩ ꌺ hnix sse]
give | Yi: v. [ꇖ ly], [ꁳ bbyx], [ꁵ bbyp], [ꌞ sut]
give birth | Yi: v. [ꀄ ꊭ iet zyr], [ꒆ yur]
glad | Yi: adj. [ꉌ ꇿ hxie kat], [ꌒ sa]
gland | Yi: n. [ꁮ ꈔ bbu ggit]
glare | Yi: v. [ꎎ ꊞ rryt zop]
glasses | Yi: n. [ꑓ ꑳ nyuo yi]
glean | Yi: v. [ꊂ ꀋ ꎴ wa ap sho]
glitter | Yi: v. [ꏷ ꌬ jyx ssi]
glossy | Yi: adj. [ꁟ ꑻ bbax yuo], [ꏷ ꐥ jyx jjo]
glove | Yi: n. [ꇇ ꑳ lot yi]
glow | Yi: v. [ꆗ ꐥ hlit jjo]
glue | Yi: v. [ꑕ nyot]
glutinous | Yi: adj. [ꑗ nyo]
gnaw | Yi: v. [ꌃ nzyt], [ꌆ nzyp], [ꑝ xit]
go | Yi: v. [ꁧ bbo], [ꒉ yy]
go down | Yi: v. [ꒉ yy]
goat | Yi: n. [ꀉ ꇙ ax lyr], [ꍶ chyt]
god | Yi: n. [ꌋ si], [ꌦ ꌺ sy sse]
godfather | Yi: v. [ꂟ hmot]
godmother | Yi: v. [ꂟ hmot]
godson | Yi: n. [ꌺ ꂟ sse hmot]
goiter | Yi: n. [ꆸ ꌦ lix sy], [ꆹ ꁘ li bbi]
gold | Yi: n. [ꏂ shy]
gold bar | Yi: n. [ꏂ ꄿ shy dda]
golden | Yi: adj. [ꏁ ꀠ shyx ba]
golden eagle | Yi: n. [ꄀ dit]
gone | Yi: adj. [ꇤ ga]
gong | Yi: n. [ꃀ ꇌ mop le]
good | Yi: adj. [ꂄ nbop], [ꉾ he], [ꃪ vat], [ꎔ nrat], [ꍅ ssyr], [ꋽ nze]
good heart | Yi: adj. [ꂄ nbop], [ꉌ ꂵ ꂄ hxie mat nbop]
good-looking | Yi: adj. [ꉜ ꌒ hxep sa], [ꑵ ꌆ yiet nzyp]
goose | Yi: n. [ꀒ op], [ꈥ ꈭ ggop ggup]
gore | Yi: v. [ꁕ pyr]
gorge | Yi: n. [ꃄ ꅧ mux ndur]
gossip | Yi: v. [ꈼ mgop], [ꊂ ꀠ wa ba]
gourd | Yi: n. [ꁨ ꆹ bbop li], [ꄯ ꈌ tep ke]
grab | Yi: v. [ꋇ cup], [ꒃ yu], [ꇑ ꑣ lup xie]
graduate | Yi: v. [ꀐ ꐞ bix jjie]
graft | Yi: v. [ꌩ ꊛ syr zot]
grain | Yi: n. [ꂶ ꅧ max ndur], [ꋙ ꂷ zzax ma], [ꋚ ꂷ zza ma], [ꋚ ꒉ zza yy]
grain bin | Yi: n. [ꁈ ꆸ po lix]
grain crib | Yi: n. [ꋚ ꁇ zza pox]
granary | Yi: [see "grain bin"]
grand | Yi: adj. [ꇰ ꀋ ꃀ ge ap mop]
grandchild | Yi: n. [ꆜ hlie]
grandfather | Yi: n. [ꀉ ꁌ ax pu]
grandmother | Yi: n. [ꀊ ꂵ a mat]
grandson | Yi: n. [ꇖ ꑳ ly yi]
granddaughter | Yi: n. [ꇖ ꂵ ly mat]
granite | Yi: n. [ꇓ ꌼ lur ssut]
grape | Yi: n. [ꑌ ꃀ nyi mop]
grasp | Yi: v. [ꌭ ssip], [ꏃ ꉱ shyp hat]
grass | Yi: n. [ꁬ bbut], [ꏜ ry]
grasshopper | Yi: n. [ꍈ ꀮ zha bu]
grassland | Yi: n. [ꅔ ndip], [ꅔ ꏂ ndip shy], [ꎆ ꆫ rre hlut]
gratified | Yi: adj. [ꐓ ꌦ qyx sy]
grave | Yi: n. [ꄃ ꁧ dip bbo]
gravel | Yi: n. [ꇓ ꎓ lur rryr]
gray | Yi: adj. [ꀉ ꌙ ax so], [ꀊ ꈨ a gge], [ꁎ ꌎ purx sie]
graze | Yi: v. [ꌆ nzyp], [ꆫ hlut]
grease | Yi: n. [ꋌ cy]
great | Yi: adj. [ꄇ ꀋ ꄿ dat ap dda], [ꇰ ꀋ ꃀ ge ap mop]
great grandfather | Yi: n. [ꀊ ꃯ a vox]
great grandchild | Yi: n. [ꆜ hlie]
greedy | Yi: adj. [ꇢ gat], [ꉘ ꈠ hxo gguo], [ꈺ ꒉ mgox yy]
green | Yi: adj. [ꀈ ꆧ at hlop], [ꆧ hlop]
green vegetables | Yi: n. [ꃱ ꆈ vop nuo], [ꉘ ꊮ hxo cit]
greet | Yi: v. [ꀠ ꏲ ba ju], [ꋨ ꏦ zzyx jie]
grey | Yi: [see "gray"]
grief | Yi: n. [ꎭ ꐪ sha jjup], [ꐒ ꏣ qyt jip]
grieve | Yi: v. [ꑓ ꃈ nyuo mur]
grievance | Yi: n. [ꎭ ꐪ sha jjup]
grind | Yi: v. [ꀨ bop], [ꃴ vut], [ꏾ qi], [ꌆ nzyp], [ꋧ ꅐ zzyt ddur]
grindstone | Yi: n. [ꐂ ꇓ qie lur]
grip | Yi: [see "grasp"]
groan | Yi: v. [ꀀ ꇖ it ly], [ꆄ ꇖ nax ly], [ꇖ ly]
groom | Yi: v. [ꇮ get]
grope | Yi: v. [ꌚ ꉨ sop ngox]
ground | Yi: n. [ꃄ ꅉ mux dde], [ꅔ ndip]
group | Yi: cl. [ꁥ bbot], [ꈉ kop], [ꃶ vu], [ꊈ wo], [ꋉ cur]
grow | Yi: v. [ꉘ hxo], [ꋦ zzur], [ꃔ fap], [ꃹ ꂷ ma vur], [ꒆ yur]
growl | Yi: v. [ꉔ hxuo]
grown-up | Yi: adj. [ꄿ dda]
growth | Yi: n. [ꃬ ꉆ va hxit]
grudge | Yi: n. [ꆐ nep]
gruel | Yi: [see "porridge"]
grumble | Yi: v. [ꑌ ꊈ nyi wo]
guard | Yi: v. [ꈯ ggur], [ꐏ qup], [ꈿ ꌬ mgep ssi]
guess | Yi: v. [ꄤ tap], [ꇠ gie], [ꉂ mgu]
guest | Yi: n. [ꃥ vip], [ꄹ ꃥ ddip vip], [ꌵ ꃥ ssot vip]
guide | Yi: v. [ꄐ ꌐ dop sat], [ꇹ ꄣ kix ta], [ꏃ shyp], [ꈜ ꏁ gga shyx]
gulp | Yi: v. [ꈍ kep], [ꃓ fa]
gum (mouth) | Yi: n. [ꇥ ꉢ gap nga]
gun | Yi: n. [ꅳ ꍩ hnap chot], [ꍩ chot], [ꆽ ꏀ lie shyt]
gunny sack | Yi: n. [ꁀ ꎿ pax shur]
gunpowder | Yi: n. [ꋌ ꃀ cy mop], [ꆭ ꄅ hlu die]
gush | Yi: v. [ꁌ pu]
gut | Yi: n. [ꃶ vu]
guts | Yi: n. [ꀬ ꅑ but ndit]
guy | Yi: [see "man", "fellow"]
habit | Yi: ta. [ꅑ ndit], [ꋻ ꅑ nzop ndit]
habitual | Yi: ta. [ꅑ ndit]
hack | Yi: [see "chop"]
hail | Yi: n. [ꋒ zzi], [ꋒ ꌦ zzi sy]
hailstone | Yi: n. [ꋒ zzi]
hair | Yi: n. [ꀍ ꑐ uo nyie], [ꑐ nyie]
hair (body) | Yi: n. [ꑐ nyie]
half | Yi: num. [ꀉ ꁁ ax pa], [ꈫ ꁁ ggux pa]
half month | Yi: n. [ꆪ ꁁ hlep pa]
halo | Yi: n. [ꁮ ꏒ bbu re], [ꆪ ꏒ hlep re]
halt | Yi: v. [ꄃ dip], [ꄗ dup]
halter | Yi: n. [ꃅ ꍋ mu zhuo]
halve | Yi: v. [ꋲ ꁁ nzie pa]
hamlet | Yi: n. [ꁡ ꇤ bbap ga], [ꇽ kie]
hammer | Yi: n. [ꇁ ꄵ la tur], [ꎸ ꅍ she ddu]
hammer | Yi: v. [ꆿ lat], [ꋯ nzi]
hand | Yi: n. [ꇇ lot], [ꁅ puop]
hand over | Yi: v. [ꁳ bbyx], [ꁵ bbyp], [ꏮ ꄀ jo dit]
handful | Yi: cl. [ꇱ gep]
handicap | Yi: n. [ꄣ ta]
handicapped | Yi: adj. [ꄣ ta], [ꇇ ꏮ lot jo]
handle | Yi: v. [ꀞ bat]
handsome | Yi: adj. [ꎔ nrat], [ꉜ ꌒ hxep sa]
handy | Yi: adj. [ꇇ ꀺ lot pi], [ꌇ ꄧ nzyrx tuo]
hang | Yi: v. [ꎑ rryp], [ꆼ ꏻ liex jyr]
happen | Yi: v. [ꐛ jjip]
happy | Yi: adj. [ꇿ kat], [ꉌ ꇿ hxie kat], [ꌒ sa], [ꐥ ꌒ jjo sa]
harass | Yi: v. [ꌾ ssu]
hard | Yi: adj. [ꀉ ꇨ ax guo], [ꇨ guo], [ꁰ ꇨ bburx guo]
hard-working | Yi: adj. [ꈪ ꑌ ggut nyi], [ꌳ ꉔ ssa hxuo], [ꎭ sha]
harden | Yi: v. [ꎸ ꊩ she zyx]
hardship | Yi: n. [ꎬ ꅧ shax ndur]
hardy | Yi: adj. [ꐕ qyp], [ꐛ ꑆ jjip njy]
hare | Yi: n. [ꀋ ꆪ ap hlep]
hare-lipped | Yi: adj. [ꅲ ꁘ hna bbi]
harm | Yi: v. [ꀠ ba], [ꃚ fu], [ꉮ hit], [ꇇ ꏿ lot qip]
harmonious | Yi: adj. [ꀨ ꀕ bop w], [ꄐ dop], [ꄮ te], [ꋭ nzit]
harness | Yi: n. [ꃅ ꊌ mu wep]
harp | Yi: n. [ꉸ ꉷ huop huo]
harrow | Yi: n. [ꈠ gguo]
harrow | Yi: v. [ꈠ gguo]
harsh | Yi: adj. [ꉊ ꇩ hxiet guop]
harvest | Yi: v. [ꎴ sho], [ꋒ ꋩ zzi zzy], [ꒇ ꋩ yyt zzy]
hassle | Yi: v. [ꋣ ꌉ zzu sit]
haste | Yi: n. [ꇤ ꐳ ga nji], [ꊸ ca]
hasten | Yi: [see "hurry"]
hasty | Yi: adj. [ꊷ ꌾ cax ssu], [ꇧ ꍠ guox zhyr]
hat | Yi: n. [ꀍ ꄟ uo tie], [ꀎ ꇓ uop lur]
hatch | Yi: v. [ꀿ pat], [ꃹ vur]
hatchet | Yi: n. [ꃤ ꃀ vi mop]
hate | Yi: v. [ꌂ nzur], [ꇭ ꅽ gop nit], [ꍍ zhot]
hatred | Yi: n. [ꆐ nep], [ꌂ ꑘ nzur nyop]
haul | Yi: v. [ꇚ git], [ꎑ rryp]
have | Yi: v. [ꀵ byp], [ꁨ bbop], [ꐥ jjo], [ꑌ nyi]
hawthorn | Yi: n. [ꌧ ꀮ syp bu]
hay | Yi: n. [ꏜ ꁧ ry bbo]
hazel | Yi: n. [ꀊ ꑙ a nyut]
he | Yi: pron. [ꋌ cy], [ꋋ cyx]
head | Yi: n. [ꀂ ꏾ i qi], [ꂪ hmy], [ꀑ o]
headband | Yi: n. [ꀑ ꇬ o go]
headstrong | Yi: adj. [ꀭ ꌾ bux ssu]
heal | Yi: v. [ꃘ fut], [ꉵ huot], [ꈉ kop], [ꌒ ꈴ sa mga]
health | Yi: n. [ꒉ ꄿ yy dda]
healthy | Yi: adj. [ꄚ ꄿ tit dda], [ꒉ ꄿ yy dda], [ꐛ ꂂ jjip nbox]
heap | Yi: n. [ꁧ bbo], [ꉻ ho], [ꈉ kop]
heap | Yi: v. [ꆙ hli], [ꈉ kop]
hear | Yi: v. [ꅲ hna], [ꈨ gge], [ꊌ ꈨ wep gge], [ꅲ ꍚ hna zhur]
heart | Yi: n. [ꉌ hxie], [ꉌ ꂵ hxie mat], [ꄸ ꈐ ddi ku]
heart (organ) | Yi: n. [ꉌ ꂵ hxie mat]
hearth | Yi: n. [ꇤ ꈏ ga kux]
hearty | Yi: adj. [ꀨ ꇊ bop lop]
heat | Yi: n. [ꊸ ca]
heat (animal) | Yi: v. [ꃤ vi], [ꅸ hnop], [ꈹ mgot], [ꈬ ꆹ ggu li]
heatstroke | Yi: n. [ꉜ ꆐ hxep nep], [ꐀ qiet]
heaven | Yi: n. [ꂿ ꃅ mo mu], [ꉬ ꉎ nge hxat]
heavy | Yi: adj. [ꀉ ꇖ ax ly]
heavy (snow) | Yi: adj. [ꃘ fut], [ꉵ huot]
hedgehog | Yi: n. [ꀠ ꃺ ba vyt], [ꀮ bu]
height | Yi: n. [ꀏ ꊥ ot zup]
help | Yi: v. [ꇇ ꀤ lot buop], [ꇇ ꄀ lot dit]
helping verb | Yi: n. [ꇙ ꁥ lyr bbot]
hem | Yi: v. [ꌐ sat]
hemp | Yi: n. [ꃆ mup]
hen | Yi: n. [ꃬ ꂵ va mat]
hence | Yi: conj. [ꄚ ꄉ tit da]
her | Yi: pron. [ꋌ cy], [ꋋ cyx]
herb | Yi: n. [ꁬ ꋌ bbut cy]
herd | Yi: cl. [ꁥ bbot], [ꃶ vu], [ꊈ wo]
here | Yi: pron. [ꄚ tit]
heritage | Yi: n. [ꍸ ꇐ chy lu]
hero | Yi: n. [ꌳ ꈄ ssa kuo], [ꌴ ꁮ ssap bbu]
hew | Yi: v. [ꇽ kie], [ꐡ jjuo]
hide | Yi: v. [ꂁ nbot], [ꁿ nba], [ꉘ hxo], [ꒌ yyr]
hide (skin) | Yi: n. [ꆭ hlu], [ꑅ ꇷ njyx gur]
high | Yi: adj. [ꀊ ꂥ a hmu]
high mountain | Yi: n. [ꈬ ꉘ ggu hxo], [ꉘ hxo], [ꉘ ꃅ hxo mu]
highway | Yi: [see "road"]
hill | Yi: cl. [ꁍ pup]
him | Yi: pron. [ꋌ cy], [ꋋ cyx]
himself | Yi: pron. [ꋍ ꋋ cyp cyx]
hinder | Yi: v. [ꁁ ꀕ pa w], [ꄯ tep], [ꄉ ꇤ da ga], [ꈯ ggur]
hire | Yi: v. [ꇲ gut], [ꊙ zuo]
his | Yi: pron. [ꋍ cyp]
history | Yi: n. [ꐩ ꋊ jju cyt], [ꅺ ꊈ Hne wo]
hit | Yi: v. [ꅥ ndup], [ꇤ ga], [ꍀ vut], [ꉮ hit]
hive | Yi: n. [ꐚ ꀧ jji bo]
hoard | Yi: v. [ꊭ zyr]
hoarse | Yi: adj. [ꃛ ꌞ fup sut]
hobby | Yi: v. [ꏚ ryt]
hoe | Yi: n. [ꊨ ꃀ zyt mop]
hoe | Yi: v. [ꃃ mut]
hog | Yi: [see "pig"]
hold | Yi: v. [ꈍ kep], [ꌭ ssip], [ꄌ duo], [ꅓ ndi]
hold back | Yi: v. [ꂱ mip]
hole | Yi: n. [ꐬ jjur], [ꃅ ꐬ mu jjur], [ꈌ ꁖ bbit ke]
holiday | Yi: n. [ꋩ ꑍ zzy nyip]
hollow | Yi: adj. [ꁖ ꈥ bbit ggop]
home | Yi: n. [ꀁ ꇬ ix go], [ꅍ ddu], [ꄰ ꅍ tut ddu], [ꏤ jiet]
honest | Yi: adj. [ꀋ ꎪ ap nryr], [ꆾ ꒇ liep yyt]
honey | Yi: n. [ꐚ ꒉ jji yy]
honeybee | Yi: n. [ꃪ ꐚ vat jji]
honeycomb | Yi: n. [ꐛ ꁓ jjip pyp]
honor | Yi: n. [ꀑ ꑊ o nyit], [ꑵ ꌆ yiet nzyp]
honored guest | Yi: n. [ꄓ ꎸ dep she], [ꈜ ꑽ gga yot]
hoof | Yi: n. [ꁖ bbit], [ꁖ ꇤ bbit ga], [ꑬ ꈁ xyx ka]
hook | Yi: n. [ꇥ ꉧ gap ngot]
hoop | Yi: cl. [ꈻ mgo]
hop | Yi: v. [ꀜ bie]
hope | Yi: v. [ꂡ ꌙ hmo so], [ꉘ ꇉ hxo lo], [ꏾ qi]
horn | Yi: n. [ꀑ ꃚ o fu], [ꉻ ho], [ꃚ fu]
horn (instrument) | Yi: n. [ꄎ ꁮ dox bbu], [ꌓ ꅲ sap hna]
hornet | Yi: n. [ꂶ ꐚ max jji]
horse | Yi: n. [ꃅ mu]
horse cart | Yi: n. [ꃅ ꈺ mu mgox], [ꌩ ꃅ syr mu]
hospital | Yi: n. [ꆅ ꉚ na hxex]
host | Yi: n. [ꃥ ꌋ vip si], [ꌋ si], [ꌊ ꁈ six po], [ꌌ ꁈ sip po]
hostile | Yi: n. [ꆐ nep]
hot | Yi: adj. [ꀊ ꊸ a ca], [ꊸ ca], [ꒉ ꊸ yyx ca]
hot pepper | Yi: n. [ꋐ zzit], [ꎭ ꋐ sha zzit]
hound | Yi: [see "dog"]
house | Yi: n. [ꀁ ꇬ ix go], [ꅍ ddu], [ꑳ yi]
household | Yi: n. [ꁯ bbup], [ꑷ yie], [ꑷ ꈓ yie kur]
how | Yi: pron. [ꈍ ꃅ kep mu]
how many | Yi: pron. [ꈍ ꑋ kep nyix]
how much | Yi: pron. [ꈍ ꑋ kep nyix]
howl | Yi: v. [ꉔ hxuo]
huddle | Yi: v. [ꈑ ꇙ kup lyr], [ꈎ kut]
hue | Yi: [see "color"]
huff | Yi: v. [ꌗ ꎿ sot shur]
hug | Yi: v. [ꄌ duo]
huge | Yi: adj. [ꀉ ꇰ ax ge]
Hui ethnic group | Yi: prop n. [ꉇ ꉈ Hxix hxi]
hull | Yi: n. [ꁌ ꀖ pu bit]
human | Yi: n. [ꊿ co], [ꐧ ꇁ jjut la]
humid | Yi: adj. [ꅫ hnip], [ꅫ ꏻ hnip jyr]
humiliate | Yi: v. [ꉙ ꉎ hxop hxat], [ꉄ ꋖ mgurx zzie]
hump | Yi: n. [ꁯ ꌺ bbup sse]
hunchback | Yi: adj. [ꁵ ꇵ bbyp gup], [ꐧ ꈯ jjut ggur]
hundred | Yi: num. [ꉐ hxa]
hunger | Yi: n. [ꂮ ꐚ mit jji]
hungry | Yi: adj. [ꀄ ꂳ iet mie], [ꂮ mit], [ꂮ ꐚ mit jji]
hunt | Yi: v. [ꈌ ꌋ ke si], [ꉆ ꈹ hxit mgot]
hunting | Yi: n. [ꉆ ꈹ hxit mgot]
hunting dog | Yi: n. [ꈌ ꃅ ke mu], [ꎷ ꈌ shex ke], [ꍀ ꈌ ssyt ke]
hurl | Yi: v. [ꍞ zhyp]
hurried | Yi: adj. [ꇨ ꊸ guo ca], [ꊸ ca]
hurry | Yi: v. [ꇤ ꐳ ga nji], [ꑣ xie]
hurt | Yi: v. [ꆅ na], [ꃚ fu], [ꃙ ꄜ fux ti]
husband | Yi: n. [ꀋ ꁧ ap bbo], [ꁦ ꋠ bbox zze], [ꌐ ꃶ sat vu], [ꒆ yur]
hush | Yi: v. [ꄡ ꁵ tat bbyp]
husk | Yi: v. [ꋩ zzy]
hut | Yi: n. [ꐏ ꑳ qup yi]
hybrid | Yi: v. [ꍔ ꐈ zhep qot]
I | Yi: pron. [ꀂ i], [ꉢ nga], [ꉡ ngax]
ice | Yi: n. [ꐻ njot]
icicle | Yi: n. [ꋍ ꀕ zzup w]
idea | Yi: n. [ꉪ ꄟ ngop tie], [ꉪ ꐪ ngop jjup], [ꏣ ꑊ ngop jip]
identical | Yi: adj. [ꐯ ꌟ jjy sux], [ꀊ ꏰ a jut]
identify | Yi: v. [ꉬ nge]
ideology | Yi: n. [ꉪ ꇐ ngop lu]
idiot | Yi: n. [ꊾ ꇰ cox ge]
idle | Yi: adj. [ꀈ ꈥ at ggop], [ꀉ ꁌ ꀕ ax pu w], [ꆷ lit]
if | Yi: conj. [ꀋ ꄸ ap ddie], [ꇬ ꆹ go li], [ꑲ ꆏ yix ne]
ignite | Yi: v. [ꏦ jie]
ignore | Yi: v. [ꀐ ꆹ ox li], [ꊎ ꆹ zix li]
ill | Yi: adj. [ꐞ jjie], [ꆅ na]
illegal | Yi: adj. [ꄷ ꅠ ddix nde]
illness | Yi: n. [ꆅ na], [ꏓ rep]
illustration | Yi: n. [ꑴ ꁱ yip bbur]
image | Yi: n. [ꁱ bbur], [ꒌ yyr]
imagine | Yi: v. [ꄤ tap]
immediate | Yi: adv. [ꇇ ꈤ lot ggo], [ꇯ ꆐ gex nep]
immediately | Yi: adv. [ꉆ ꐥ hxit jjo], [ꎂ rro], [ꋋ ꇅ cyx luo]
immense | Yi: adj. [ꀉ ꇰ ax ge]
immerse | Yi: v. [ꍘ ꒉ zhup yy]
immoral | Yi: adj. [ꄷ ꅠ ddix nde], [ꈈ ko]
immortal | Yi: n. [ꌦ ꌺ sy sse]
immune | Yi: adj. [ꁿ nba]
impartial | Yi: adj. [ꊒ ꆽ zie lie]
impatient | Yi: adj. [ꄁ ꋣ dix zzu]
impede | Yi: [see "hinder"]
impediment | Yi: n. [ꈢ ꇓ ggot lur]
imperfect | Yi: adj. [ꆐ ꅑ nep ndit]
implement | Yi: n. [ꏦ ꌤ jie syt]
implicate | Yi: v. [ꉐ ꇓ hxa lur], [ꌎ sie], [ꅽ nit]
implore | Yi: v. [ꑗ ꇖ nyo ly]
impolite | Yi: adj. [ꋍ ꄫ cyp to]
important | Yi: adj. [ꀋ ꉬ ap nge], [ꆈ nuo], [ꀋ ꂿ ap mo]
impotence | Yi: n. [ꏮ jo]
impoverish | Yi: v. [ꑵ ꐢ yiet jjuop]
improve | Yi: [see "develop"]
in | Yi: pron. [ꇬ go]
in front | Yi: n. [ꃀ mop], [ꂴ ꆽ miep lie]
in order to | Yi: gr. [ꉈ hxi], [ꌊ six]
in-laws | Yi: n. [ꃶ ꌱ vu ssat]
incite | Yi: v. [ꊢ zut], [ꃸ ꆽ vurx lie]
incline | Yi: v. [ꋒ zzi], [ꉭ ngep], [ꆷ lit]
include | Yi: v. [ꐊ qo]
incomplete | Yi: adj. [ꍣ cha], [ꀋ ꐕ ap qyp]
increase | Yi: v. [ꁦ ꎆ bbox rre], [ꎆ rre]
incubate | Yi: v. [ꃹ vur]
incubation | Yi: n. [ꈯ ꑌ ggur nyi]
indeed | Yi: adv. [ꃀ ꅉ mop dde], [ꇯ ꍝ gex zhy]
independent | Yi: adj. [ꄂ di]
indicate | Yi: v. [ꄂ di], [ꄐ dop], [ꄜ ti]
indigo | Yi: n. [ꁈ po], [ꄀ dit]
indirect | Yi: adv. [ꌌ ꀕ sip w]
individual | Yi: adv. [ꄂ ꆼ di liex], [ꊾ ꄂ cox di]
industrious | Yi: adj. [ꈪ ꑌ ggut nyi], [ꋪ ꑻ zzyp yuo]
industry | Yi: n. [ꇮ ꑘ get nyop], [ꌧ ꇐ syp lu]
inexpensive | Yi: adj. [ꁌ ꒃ pu yu], [ꈝ ꐮ ggap jjyx]
infant | Yi: n. [ꀿ ꏅ pat shyr]
infect | Yi: v. [ꂟ hmot], [ꇭ gop], [ꇵ gup], [ꐯ ꇳ jjy gux]
inferior | Yi: adj. [ꈯ ꐭ ggur jjyt], [ꊂ ꈘ wa ggie]
infertile | Yi: adj. [ꀉ ꅠ ax nde], [ꅠ nde]
inflate | Yi: v. [ꂨ hmur]
influence | Yi: n. [ꊋ ꃤ we vi], [ꐯ ꑾ jjy yox]
inform | Yi: v. [ꀠ ba], [ꅇ ꀠ ddop ba], [ꄷ ꑣ tix xie], [ꅺ ꇰ hne ge]
information | Yi: n. [ꈨ ꅍ gge ddu]
inhabit | Yi: [see "live", "dwell"]
inhale | Yi: v. [ꁓ pyp], [ꌗ ꈻ sot mgo]
initial | Yi: n. [ꃚ ꌺ fu sse]
injure | Yi: v. [ꀙ bip], [ꃙ ꄜ fux ti], [ꅐ ꌶ ddur ssox]
injury | Yi: n. [ꅐ ꌶ ddur ssox], [ꂷ ꊂ ma wa]
ink | Yi: n. [ꂷ ꋶ ma nza]
inlay | Yi: v. [ꊐ zip], [ꌧ syp], [ꎡ nru]
inner | Yi: n. [ꈐ ku], [ꈏ ꄅ kux die]
inquire | Yi: v. [ꅲ hna], [ꅲ ꇫ hna gox], [ꎹ shep]
insane | Yi: adj. [ꌣ ꇓ sur lur]
insect | Yi: n. [ꁯ ꄸ bbup ddi]
insert | Yi: v. [ꋉ cur], [ꍣ cha]
inside | Yi: n. [ꀁ ꇬ ix go], [ꈐ ku], [ꈏ ꄅ kux die]
insist | Yi: v. [ꄷ ꋌ ddix cy]
inspect | Yi: v. [ꆫ hlut], [ꂿ ꌋ mo si], [ꃪ ꆫ vat hlut]
install | Yi: v. [ꋉ cur]
instance | Yi: cl. [ꃢ vit], [ꉈ hxi], [ꈭ ggup], [ꇅ luo]
instant | Yi: n. [ꀁ ꉘ ix hxo], [ꋍ ꈪ cyp ggut]
instruct | Yi: v. [ꂘ hmat], [ꉙ hxop]
instrument | Yi: n. [ꀙ bip], [ꁱ ꅍ bbur ddu]
insufficient | Yi: adj. [ꀋ ꇎ ap lut], [ꄐ ꀕ dop w]
insult | Yi: v. [ꉙ ꉎ hxop hxat]
intelligent | Yi: adj. [ꀑ ꁮ o bbu], [ꑴ ꌧ yip syp], [ꌳ ꉔ ssa hxuo]
intend | Yi: aux. [ꂯ ꏂ mix shy], [ꂿ ꉂ mo mgu], [ꉈ ꑌ hxi nyi], [ꏢ ꉨ ji ngox]
intent | Yi: n. [ꏣ ꑊ ngop jip]
intention | Yi: n. [ꏣ ꑊ ngop jip], [ꉪ ꐪ ngop jjup]
interact | Yi: v. [ꋑ ꈌ zzix ke], [ꒈ ꇁ yyx la]
interest | Yi: n. [ꇔ ꊰ lyt ci], [ꈲ ꏣ mgat jip]
interest | Yi: v. [ꉈ ꇬ hxi go]
interfere | Yi: v. [ꄉ ꇤ da ga]
interior | Yi: n. [ꈏ ꇓ kux lur], [ꈐ ku]
interjection | Yi: n. [ꌗ ꏿ sot qip]
internal | Yi: adj. [ꈏ ꉻ kux ho]
international | Yi: adj. [ꋧ ꃅ zzyt mu]
interrogate | Yi: v. [ꀑ ꅥ o ndup], [ꇔ lyt], [ꍰ ꍔ chep lyt]
interrupt | Yi: v. [ꈌ ꇑ ke lup], [ꉉ ꈌ hxip ke]
interval | Yi: n. [ꇢ gat]
interview | Yi: v. [ꅲ ꇫ hna gox]
intestine | Yi: n. [ꃶ vu]
intimidate | Yi: v. [ꇷ gur], [ꇷ ꇋ gur lex]
into | Yi: [see "enter"]
intoxicate | Yi: [see "drunk"]
invade | Yi: v. [ꃄ ꉅ mux mgur]
invalid | Yi: n. [ꏓ rep]
invent | Yi: v. [ꉘ ꁧ hxo bbo]
investigate | Yi: v. [ꆈ ꍮ nuo chex], [ꍤ chap], [ꇔ ꍰ lyt chep]
